#dtype=float64
#shape=225,5
	sheet_id	found_in	occurrence	average_length	coord_variance
E116	16	1	0.004	1	0
H117	0	103	0.412	4.43689	37.1391
H118	0	30	0.12	4.9	82.2371
H119	0	247	0.988	13.8907	44.7337
E120	2	3	0.012	1.66667	4.23016
H121	0	36	0.144	3.36111	80.9194
E122	2	8	0.032	1.375	44.9592
E123	2	249	0.996	5.39759	29.1914
E124	2	43	0.172	2.37209	89.8799
H125	0	16	0.064	3.8125	16.9252
X126	0	0	0	0	0
H127	0	4	0.016	7	2.34791
X128	0	0	0	0	0
X129	0	0	0	0	0
H130	0	14	0.056	4	83.7126
E131	2	7	0.028	1.28571	54.8432
H132	0	69	0.276	5.4058	72.9466
H133	0	15	0.06	3.73333	93.9554
E134	2	8	0.032	2.25	33.0525
E135	2	9	0.036	1	1.9458
H136	0	245	0.98	12.8449	46.6575
E137	2	1	0.004	1	0
H138	0	23	0.092	5.3913	35.4905
H139	0	73	0.292	3.83562	23.4679
E140	2	43	0.172	1.55814	92.005
E141	2	5	0.02	5.4	4.70933
E142	2	250	1	4.24	18.3277
X143	0	0	0	0	0
X144	0	0	0	0	0
E145	10	34	0.136	1.41176	54.9876
E146	10	1	0.004	2	0
H147	0	64	0.256	3.5	59.2355
X148	0	0	0	0	0
H149	0	53	0.212	4.32075	50.8219
E150	10	1	0.004	3	0
E151	17	1	0.004	2	0
H152	0	6	0.024	5.5	97.0395
E153	17	1	0.004	2	0
H154	0	1	0.004	9	0
E155	10	30	0.12	2.2	85.0193
H156	0	5	0.02	3.2	39.6053
E157	10	3	0.012	1	1.91823
H158	0	11	0.044	13.6364	101.4
X159	0	0	0	0	0
H160	0	228	0.912	13.5044	43.2524
H161	0	15	0.06	6.46667	54.1121
E162	5	14	0.056	1.57143	67.8348
H163	0	70	0.28	4.21429	27.3248
X164	0	0	0	0	0
E165	2	236	0.944	4.11017	14.9243
E166	18	14	0.056	1.07143	4.90365
H167	0	65	0.26	4.32308	61.8238
X168	0	0	0	0	0
X169	0	0	0	0	0
H170	0	11	0.044	4.63636	110.744
E171	19	5	0.02	1.8	77.3684
E172	19	5	0.02	1.8	61.5419
E173	18	14	0.056	1.07143	4.87834
H174	0	233	0.932	9.99571	36.3222
E175	5	13	0.052	1	27.3206
H176	0	18	0.072	3.61111	45.0451
H177	0	4	0.016	3.75	7.47812
E178	2	18	0.072	1.05556	11.7983
E179	2	233	0.932	4.103	14.0457
H180	0	175	0.7	6.37714	22.5795
E181	20	24	0.096	1.33333	71.7271
H182	0	7	0.028	3	21.2402
E183	21	8	0.032	3	13.675
H184	0	29	0.116	9.24138	140.189
H185	0	12	0.048	4.25	153.846
E186	21	9	0.036	5.66667	46.9469
H187	0	7	0.028	4.57143	35.4428
E188	10	8	0.032	1.75	25.0168
X189	0	0	0	0	0
E190	21	9	0.036	4.22222	30.4855
H191	0	2	0.008	9	64.1025
H192	0	1	0.004	4	0
H193	0	2	0.008	14	94.7051
H194	0	31	0.124	7.96774	73.7167
E195	22	1	0.004	1	0
H196	0	10	0.04	5.2	41.718
E197	23	1	0.004	1	0
E198	23	1	0.004	1	0
E199	22	1	0.004	1	0
H200	0	17	0.068	3.17647	72.2345
E201	20	9	0.036	1.44444	47.9826
X202	0	0	0	0	0
E203	20	15	0.06	1	72.7702
H204	0	187	0.748	15.2781	85.6267
E205	3	18	0.072	1.16667	39.8259
H206	0	47	0.188	5.70213	101.719
H207	0	13	0.052	5.46154	92.0208
E208	1	14	0.056	3.07143	23.3079
X209	0	0	0	0	0
H210	0	10	0.04	5.5	74.6707
H211	0	26	0.104	16.9231	91.9248
X212	0	0	0	0	0
H213	0	5	0.02	5.6	149.361
X214	0	0	0	0	0
H215	0	28	0.112	10.3929	47.9535
E216	8	4	0.016	1	3.55912
H217	0	5	0.02	12.8	123.024
E218	8	8	0.032	1.25	9.45722
H219	0	22	0.088	3	6.58253
H220	0	1	0.004	3	0
H221	0	23	0.092	14.6522	61.0762
H222	0	15	0.06	5.46667	168.446
H223	0	9	0.036	4.44444	103.948
E224	8	1	0.004	3	0
